Hospital,Month,ED_Visits,Wait_Time_Hours,LOS_Days,Bed_Occupancy_Pct,ALC_Patients,Admission_Rate_Pct,LWBS_Rate_Pct,Readmission_Rate_Pct,Staffing_Index,CTAS_1_Visits,CTAS_2_Visits,CTAS_3_Visits,CTAS_4_Visits,CTAS_5_Visits,CTAS_1_Wait_Hrs,CTAS_2_Wait_Hrs,CTAS_3_Wait_Hrs,CTAS_4_Wait_Hrs,CTAS_5_Wait_Hrs,CTAS_1_Admission_Pct,CTAS_2_Admission_Pct,CTAS_3_Admission_Pct,CTAS_4_Admission_Pct,CTAS_5_Admission_Pct
Sunnybrook HSC,2026-04-01,9500,5.9,5.05,96.64,35,17.56,5.63,8.11,105,142,1425,3325,3325,1283,0.18,1.7,6.79,7.67,5.02,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2026-05-01,9033,5.35,4.8,94.82,26,14.32,5.24,8.29,100,135,1354,3161,3161,1222,0.22,1.64,6.15,6.95,4.55,85.0,42.0,18.0,4.5,0.5
Sunnybrook HSC,2026-06-01,9398,4.36,4.6,88.84,20,13.75,4.56,10.33,100,140,1409,3289,3289,1271,0.21,1.47,5.02,5.67,3.71,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-01-01,8396,6.24,5.41,95.5,47,12.88,5.87,8.82,100,125,1259,2938,2938,1136,0.1,1.66,7.18,8.12,5.31,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-02-01,8263,4.71,4.79,89.58,26,16.27,4.8,10.88,95,123,1239,2892,2892,1117,0.12,1.49,5.41,6.12,4.0,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-03-01,8401,5.45,5.36,89.39,45,16.15,5.31,12.62,95,126,1260,2940,2940,1135,0.11,1.48,6.26,7.08,4.63,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-04-01,8725,4.46,4.72,88.3,24,17.7,4.62,8.18,95,130,1308,3053,3053,1181,0.15,1.45,5.13,5.8,3.79,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-05-01,8148,5.97,5.01,97.7,33,14.76,5.68,12.07,100,122,1222,2851,2851,1102,0.13,1.73,6.87,7.76,5.08,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-06-01,8330,5.77,5.43,91.36,47,17.38,5.54,13.09,105,124,1249,2915,2915,1127,0.15,1.54,6.64,7.51,4.91,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-07-01,8975,5.73,5.03,95.44,34,15.19,5.51,13.53,95,134,1346,3141,3141,1213,0.13,1.66,6.58,7.44,4.87,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-08-01,8866,5.46,5.18,91.61,39,14.61,5.32,8.76,100,132,1329,3103,3103,1199,0.2,1.55,6.28,7.1,4.64,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-09-01,8271,4.89,5.07,87.94,35,17.53,4.92,10.09,100,124,1240,2894,2894,1119,0.27,1.44,5.62,6.35,4.15,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-10-01,8301,5.81,5.24,93.78,41,16.33,5.57,12.57,105,124,1245,2905,2905,1122,0.23,1.61,6.68,7.56,4.94,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-11-01,8580,5.85,5.11,95.62,36,13.93,5.6,7.74,95,128,1287,3003,3003,1159,0.28,1.67,6.73,7.61,4.98,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2025-12-01,8423,5.26,4.88,93.23,29,17.81,5.18,14.18,100,126,1263,2948,2948,1138,0.26,1.6,6.05,6.84,4.47,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2026-01-01,8260,4.97,4.65,93.35,21,19.19,4.98,11.85,105,123,1239,2891,2891,1116,0.17,1.6,5.71,6.46,4.22,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2026-02-01,8367,6.58,5.51,97.22,50,14.44,6.11,10.88,105,125,1255,2928,2928,1131,0.23,1.72,7.57,8.55,5.59,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2026-03-01,8326,4.96,5.13,87.92,37,14.6,4.97,12.97,105,124,1248,2914,2914,1126,0.24,1.44,5.71,6.45,4.22,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2026-04-01,8562,4.91,5.0,89.0,33,17.09,4.94,9.0,100,128,1284,2996,2996,1158,0.29,1.47,5.65,6.39,4.17,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2026-05-01,8669,5.49,5.33,90.11,44,18.36,5.34,11.02,105,130,1300,3034,3034,1171,0.2,1.5,6.31,7.13,4.66,85.0,42.0,18.0,4.5,0.5
Unity Health (St. Michaels),2026-06-01,8364,4.92,5.14,87.54,37,12.19,4.95,12.16,95,125,1254,2927,2927,1131,0.3,1.43,5.66,6.4,4.18,85.0,42.0,18.0,4.5,0.5
North York General,2025-01-01,6436,4.89,4.79,91.11,26,17.98,4.92,14.62,95,96,965,2252,2252,871,0.19,1.53,5.62,6.36,4.16,85.0,42.0,18.0,4.5,0.5
North York General,2025-02-01,6417,6.62,5.51,97.57,50,14.36,6.13,10.08,105,96,962,2245,2245,869,0.15,1.73,7.61,8.6,5.62,85.0,42.0,18.0,4.5,0.5
North York General,2025-03-01,6128,5.03,4.88,91.31,29,18.75,5.02,14.44,100,91,919,2144,2144,830,0.12,1.54,5.78,6.54,4.28,85.0,42.0,18.0,4.5,0.5
North York General,2025-04-01,5968,6.01,5.46,93.0,48,16.15,5.71,14.02,95,89,895,2088,2088,808,0.27,1.59,6.91,7.81,5.11,85.0,42.0,18.0,4.5,0.5
North York General,2025-05-01,6228,4.8,5.11,86.78,37,14.37,4.86,10.36,100,93,934,2179,2179,843,0.27,1.4,5.52,6.24,4.08,85.0,42.0,18.0,4.5,0.5
North York General,2025-06-01,6195,5.98,5.09,96.87,36,18.39,5.68,12.2,100,92,929,2168,2168,838,0.26,1.71,6.87,7.77,5.08,85.0,42.0,18.0,4.5,0.5
North York General,2025-07-01,6116,5.73,4.93,96.57,30,12.75,5.51,11.63,100,91,917,2140,2140,828,0.17,1.7,6.58,7.44,4.87,85.0,42.0,18.0,4.5,0.5
North York General,2025-08-01,6408,5.16,5.36,87.02,45,18.88,5.11,9.0,100,96,961,2242,2242,867,0.26,1.41,5.93,6.71,4.39,85.0,42.0,18.0,4.5,0.5
North York General,2025-09-01,6209,4.51,4.63,89.68,21,18.16,4.66,8.73,95,93,931,2173,2173,839,0.19,1.49,5.18,5.86,3.83,85.0,42.0,18.0,4.5,0.5
North York General,2025-10-01,6139,5.47,4.79,95.95,26,17.6,5.33,8.11,95,92,920,2148,2148,831,0.29,1.68,6.29,7.11,4.65,85.0,42.0,18.0,4.5,0.5
North York General,2025-11-01,6131,5.05,4.63,94.29,20,15.47,5.03,12.95,100,91,919,2145,2145,831,0.11,1.63,5.81,6.56,4.29,85.0,42.0,18.0,4.5,0.5
North York General,2025-12-01,6318,6.46,5.39,97.51,46,15.27,6.02,8.39,95,94,947,2211,2211,855,0.19,1.73,7.42,8.39,5.49,85.0,42.0,18.0,4.5,0.5
North York General,2026-01-01,5995,4.25,4.58,88.12,19,19.48,4.47,12.11,95,89,899,2098,2098,811,0.25,1.44,4.89,5.52,3.61,85.0,42.0,18.0,4.5,0.5
North York General,2026-02-01,6144,5.44,5.11,92.21,36,13.98,5.31,9.85,95,92,921,2150,2150,831,0.12,1.57,6.26,7.08,4.63,85.0,42.0,18.0,4.5,0.5
North York General,2026-03-01,5939,4.43,4.6,89.44,19,14.49,4.6,14.84,95,89,890,2078,2078,804,0.19,1.48,5.1,5.76,3.77,85.0,42.0,18.0,4.5,0.5
North York General,2026-04-01,6178,4.47,4.91,86.27,30,13.39,4.63,10.47,105,92,926,2162,2162,836,0.11,1.39,5.14,5.81,3.8,85.0,42.0,18.0,4.5,0.5
North York General,2026-05-01,6044,6.49,5.43,97.34,47,12.12,6.04,14.47,95,90,906,2115,2115,818,0.21,1.72,7.47,8.44,5.52,85.0,42.0,18.0,4.5,0.5
North York General,2026-06-01,6474,5.68,5.14,93.89,37,19.55,5.48,13.94,105,97,971,2265,2265,876,0.26,1.62,6.54,7.39,4.83,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-01-01,6812,5.62,5.1,93.8,36,18.49,5.43,13.57,105,102,1021,2384,2384,921,0.26,1.61,6.46,7.31,4.78,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-02-01,6917,5.13,4.76,93.47,25,13.72,5.09,10.02,95,103,1037,2420,2420,937,0.12,1.6,5.9,6.67,4.36,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-03-01,6949,5.03,4.65,93.88,21,18.76,5.02,7.19,100,104,1042,2432,2432,939,0.15,1.62,5.78,6.54,4.27,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-04-01,6970,5.43,5.17,91.45,39,19.49,5.3,7.31,95,104,1045,2439,2439,943,0.26,1.54,6.25,7.06,4.62,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-05-01,7260,4.43,4.66,88.67,22,18.45,4.6,14.92,100,108,1089,2541,2541,981,0.15,1.46,5.09,5.75,3.76,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-06-01,7124,5.8,5.34,92.55,44,13.91,5.56,12.44,105,106,1068,2493,2493,964,0.25,1.58,6.67,7.54,4.93,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-07-01,7083,4.97,5.28,86.34,42,18.61,4.98,9.56,105,106,1062,2479,2479,957,0.12,1.39,5.72,6.46,4.23,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-08-01,7329,4.95,5.32,85.7,44,14.84,4.96,14.65,105,109,1099,2565,2565,991,0.29,1.37,5.69,6.43,4.21,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-09-01,7042,5.5,5.13,92.45,37,14.35,5.35,9.63,105,105,1056,2464,2464,953,0.14,1.57,6.33,7.15,4.68,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-10-01,6801,6.36,5.34,97.3,44,19.45,5.95,14.79,100,102,1020,2380,2380,919,0.21,1.72,7.31,8.27,5.41,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-11-01,6972,5.57,5.34,90.74,44,12.94,5.4,8.14,100,104,1045,2440,2440,943,0.27,1.52,6.4,7.24,4.73,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2025-12-01,7026,6.28,5.37,96.27,45,13.78,5.9,10.17,105,105,1053,2459,2459,950,0.24,1.69,7.23,8.17,5.34,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2026-01-01,7430,3.95,4.54,86.06,18,14.99,4.26,9.97,95,111,1114,2600,2600,1005,0.29,1.38,4.54,5.13,3.36,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2026-02-01,6990,6.4,5.32,97.82,44,12.67,5.98,13.22,100,104,1048,2446,2446,946,0.24,1.73,7.36,8.32,5.44,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2026-03-01,7032,4.55,4.8,88.23,26,14.03,4.68,10.24,100,105,1054,2461,2461,951,0.11,1.45,5.23,5.91,3.87,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2026-04-01,7187,4.06,4.58,86.54,19,17.97,4.34,11.67,100,107,1078,2515,2515,972,0.18,1.4,4.67,5.27,3.45,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2026-05-01,7100,4.67,4.62,91.21,20,15.49,4.77,13.42,95,106,1065,2485,2485,959,0.29,1.54,5.37,6.07,3.97,85.0,42.0,18.0,4.5,0.5
Scarborough Health Network,2026-06-01,7099,4.85,5.26,85.56,42,19.94,4.89,7.59,105,106,1064,2484,2484,961,0.24,1.37,5.58,6.3,4.12,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-01-01,5586,4.04,4.61,85.98,20,14.36,4.33,14.97,100,83,837,1955,1955,756,0.22,1.38,4.64,5.25,3.43,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-02-01,5624,5.39,4.67,96.72,22,19.6,5.28,14.12,95,84,843,1968,1968,761,0.16,1.7,6.2,7.01,4.59,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-03-01,5666,4.6,4.9,87.45,30,16.67,4.72,7.62,95,84,849,1983,1983,767,0.15,1.42,5.29,5.98,3.91,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-04-01,5623,4.56,4.57,90.89,18,15.29,4.69,11.82,95,84,843,1968,1968,760,0.13,1.53,5.25,5.93,3.88,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-05-01,5703,4.97,5.31,85.99,43,16.65,4.98,14.35,100,85,855,1996,1996,771,0.29,1.38,5.71,6.46,4.22,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-06-01,5475,5.33,4.66,96.26,21,15.01,5.23,13.48,105,82,821,1916,1916,740,0.13,1.69,6.13,6.93,4.53,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-07-01,6027,5.24,4.91,92.72,30,18.74,5.17,13.71,100,90,904,2109,2109,815,0.11,1.58,6.02,6.81,4.45,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-08-01,5504,3.96,4.49,86.74,16,17.53,4.27,11.27,95,82,825,1926,1926,745,0.3,1.4,4.55,5.15,3.37,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-09-01,6012,5.63,5.25,92.22,41,18.8,5.44,8.98,100,90,901,2104,2104,813,0.14,1.57,6.48,7.32,4.79,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-10-01,5581,4.49,4.75,88.27,24,19.03,4.64,13.06,100,83,837,1953,1953,755,0.17,1.45,5.16,5.83,3.81,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-11-01,5764,4.71,5.08,86.48,35,18.18,4.8,11.16,95,86,864,2017,2017,780,0.21,1.39,5.42,6.13,4.01,85.0,42.0,18.0,4.5,0.5
Humber River Health,2025-12-01,5696,5.77,5.35,92.29,44,13.07,5.54,7.23,105,85,854,1993,1993,771,0.26,1.57,6.64,7.5,4.91,85.0,42.0,18.0,4.5,0.5
Humber River Health,2026-01-01,5988,5.83,5.3,93.31,43,16.94,5.58,14.84,100,89,898,2095,2095,811,0.22,1.6,6.7,7.58,4.96,85.0,42.0,18.0,4.5,0.5
Humber River Health,2026-02-01,5988,4.94,4.92,90.1,30,14.79,4.96,11.11,105,89,898,2095,2095,811,0.18,1.5,5.68,6.42,4.2,85.0,42.0,18.0,4.5,0.5
Humber River Health,2026-03-01,6015,5.87,5.35,93.09,44,13.18,5.61,14.41,100,90,902,2105,2105,813,0.25,1.59,6.75,7.63,4.99,85.0,42.0,18.0,4.5,0.5
Humber River Health,2026-04-01,5823,3.88,4.5,85.86,16,14.78,4.21,8.67,105,87,873,2038,2038,787,0.15,1.38,4.46,5.04,3.29,85.0,42.0,18.0,4.5,0.5
Humber River Health,2026-05-01,5534,3.99,4.58,85.99,19,13.22,4.29,8.11,95,83,830,1936,1936,749,0.28,1.38,4.59,5.19,3.39,85.0,42.0,18.0,4.5,0.5
Humber River Health,2026-06-01,5560,5.36,5.14,91.16,38,13.54,5.25,7.33,95,83,834,1945,1945,753,0.17,1.53,6.17,6.97,4.56,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-01-01,7707,4.37,4.55,89.52,18,16.28,4.56,9.85,100,115,1156,2697,2697,1042,0.17,1.49,5.03,5.68,3.72,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-02-01,7310,5.44,5.17,91.54,38,18.4,5.31,12.02,105,109,1096,2558,2558,989,0.2,1.55,6.26,7.08,4.63,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-03-01,7282,4.44,4.82,87.04,27,18.95,4.61,7.68,105,109,1092,2548,2548,985,0.14,1.41,5.1,5.77,3.77,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-04-01,7657,4.53,4.82,87.72,27,16.95,4.67,9.95,100,114,1148,2679,2679,1037,0.25,1.43,5.2,5.88,3.85,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-05-01,7836,4.07,4.68,85.48,22,19.16,4.35,11.09,105,117,1175,2742,2742,1060,0.11,1.36,4.68,5.29,3.46,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-06-01,7589,5.7,4.94,96.27,31,12.84,5.49,12.9,100,113,1138,2656,2656,1026,0.21,1.69,6.56,7.41,4.85,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-07-01,7697,5.34,4.69,95.93,23,13.87,5.24,9.74,95,115,1154,2693,2693,1042,0.24,1.68,6.14,6.94,4.54,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-08-01,7347,5.73,5.05,95.26,35,16.3,5.51,11.69,95,110,1102,2571,2571,993,0.21,1.66,6.59,7.45,4.87,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-09-01,7981,4.79,4.83,89.92,27,16.86,4.86,8.95,105,119,1197,2793,2793,1079,0.3,1.5,5.51,6.23,4.08,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-10-01,7359,5.09,4.78,92.88,26,13.22,5.06,8.97,100,110,1103,2575,2575,996,0.14,1.59,5.85,6.61,4.32,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-11-01,7979,4.43,4.66,88.71,22,12.64,4.6,11.2,95,119,1196,2792,2792,1080,0.3,1.46,5.09,5.75,3.76,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2025-12-01,8036,4.38,4.83,86.46,27,18.92,4.57,13.54,95,120,1205,2812,2812,1087,0.2,1.39,5.04,5.7,3.72,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2026-01-01,7840,6.0,5.33,94.4,44,16.28,5.7,10.81,95,117,1176,2744,2744,1059,0.25,1.63,6.9,7.8,5.1,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2026-02-01,7611,4.43,4.78,87.43,25,16.06,4.6,8.94,105,114,1141,2663,2663,1030,0.24,1.42,5.09,5.76,3.76,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2026-03-01,7674,5.2,4.68,94.98,22,19.46,5.14,9.57,105,115,1151,2685,2685,1038,0.11,1.65,5.98,6.76,4.42,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2026-04-01,7329,4.47,4.64,89.38,21,19.92,4.63,9.58,100,109,1099,2565,2565,991,0.12,1.48,5.15,5.82,3.8,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2026-05-01,7371,3.96,4.48,86.8,15,15.79,4.27,11.85,105,110,1105,2579,2579,998,0.17,1.4,4.55,5.14,3.36,85.0,42.0,18.0,4.5,0.5
Trillium Health Partners,2026-06-01,8032,6.39,5.38,97.08,45,12.99,5.97,12.85,95,120,1204,2811,2811,1086,0.14,1.71,7.35,8.31,5.43,85.0,42.0,18.0,4.5,0.5
