Hospital,Month,ED_Visits,Wait_Time_Hours,LOS_Days,Bed_Occupancy_Pct,ALC_Patients,Admission_Rate_Pct,LWBS_Rate_Pct,Readmission_Rate_Pct,Staffing_Index,CTAS_1_Visits,CTAS_2_Visits,CTAS_3_Visits,CTAS_4_Visits,CTAS_5_Visits,CTAS_1_Wait_Hrs,CTAS_2_Wait_Hrs,CTAS_3_Wait_Hrs,CTAS_4_Wait_Hrs,CTAS_5_Wait_Hrs,CTAS_1_Admission_Pct,CTAS_2_Admission_Pct,CTAS_3_Admission_Pct,CTAS_4_Admission_Pct,CTAS_5_Admission_Pct
Sunnybrook HSC,2026-04-01,9025,4.73,4.9,84.95,19,14.85,4.51,13.06,100,139,1456,3216,2989,1225,0.1,1.3,5.44,6.15,4.02,76.74,35.69,16.33,2.16,1.3
Sunnybrook HSC,2026-05-01,9484,5.14,5.01,90.06,20,17.01,5.07,11.03,95,139,1377,3294,3186,1488,0.27,1.46,5.91,6.69,4.37,84.88,37.44,18.71,2.28,1.0
Sunnybrook HSC,2026-06-01,9643,5.74,5.58,91.96,46,12.57,5.58,9.55,100,133,1536,3358,3296,1320,0.27,1.5,6.6,7.46,4.88,75.35,47.22,13.83,3.13,0.27
Unity Health (St. Michaels),2025-01-01,8585,5.11,4.99,92.69,45,19.45,4.95,13.87,100,154,1274,2893,3004,1260,0.19,1.7,5.88,6.65,4.35,86.26,46.32,21.39,2.41,1.36
Unity Health (St. Michaels),2025-02-01,8848,5.76,4.86,96.05,30,17.05,5.55,10.59,100,122,1241,3240,2863,1382,0.16,1.74,6.62,7.49,4.9,79.93,45.09,18.76,5.01,1.21
Unity Health (St. Michaels),2025-03-01,7474,4.34,5.28,83.55,29,18.57,4.45,12.65,105,115,1145,2731,2496,987,0.12,1.33,4.99,5.64,3.69,76.27,49.8,20.43,3.5,0.62
Unity Health (St. Michaels),2025-04-01,8615,7.06,5.49,98.1,51,12.09,6.44,10.75,100,118,1227,3110,2949,1211,0.11,1.64,8.12,9.18,6.0,76.78,36.76,13.3,4.6,1.14
Unity Health (St. Michaels),2025-05-01,7848,6.05,5.28,98.36,32,16.18,5.83,12.04,95,146,1151,2892,2515,1144,0.24,1.76,6.95,7.86,5.14,81.82,44.41,17.8,4.34,1.36
Unity Health (St. Michaels),2025-06-01,8840,4.24,5.17,86.78,44,19.8,4.32,14.89,95,128,1402,3015,2895,1400,0.24,1.42,4.88,5.51,3.6,83.04,39.64,21.77,5.26,1.06
Unity Health (St. Michaels),2025-07-01,8937,6.41,5.29,97.49,45,15.05,6.04,14.76,95,154,1415,3098,3193,1077,0.27,1.61,7.37,8.33,5.44,87.57,42.03,16.55,3.66,0.48
Unity Health (St. Michaels),2025-08-01,9019,6.13,5.54,96.7,45,19.63,5.58,11.85,100,180,1412,3253,3226,948,0.15,1.69,7.05,7.97,5.21,85.08,44.27,21.6,3.43,0.26
Unity Health (St. Michaels),2025-09-01,8233,5.04,5.15,90.85,41,13.7,5.32,8.09,105,152,1288,2901,2923,969,0.1,1.61,5.79,6.55,4.28,80.26,43.85,15.07,3.57,0.71
Unity Health (St. Michaels),2025-10-01,8665,4.04,4.94,87.92,31,15.94,4.41,9.63,95,121,1374,3158,3101,911,0.23,1.43,4.65,5.26,3.44,78.6,36.14,17.54,2.52,0.28
Unity Health (St. Michaels),2025-11-01,7678,4.2,4.87,84.36,33,12.71,4.28,7.97,95,103,1281,2679,2661,954,0.19,1.27,4.83,5.46,3.57,78.1,40.46,13.98,4.01,1.07
Unity Health (St. Michaels),2025-12-01,7514,6.18,5.4,95.59,39,14.96,5.72,10.88,95,140,1259,2497,2487,1131,0.22,1.61,7.11,8.04,5.25,80.53,41.94,16.46,4.99,0.15
Unity Health (St. Michaels),2026-01-01,8219,5.73,5.12,94.13,46,14.58,5.47,8.69,100,125,1177,2859,2805,1253,0.17,1.62,6.59,7.45,4.87,76.8,48.36,16.03,4.37,1.05
Unity Health (St. Michaels),2026-02-01,8260,4.22,4.2,90.47,20,14.85,4.64,14.89,95,131,1341,2868,2685,1235,0.22,1.71,4.85,5.49,3.59,78.56,36.53,16.33,2.61,0.44
Unity Health (St. Michaels),2026-03-01,7664,4.22,4.68,85.17,23,14.06,4.5,8.37,100,145,1091,2689,2578,1161,0.23,1.38,4.86,5.49,3.59,88.94,43.35,15.47,4.29,0.49
Unity Health (St. Michaels),2026-04-01,8077,4.37,4.25,85.18,24,16.26,4.55,7.41,105,121,1189,2702,2781,1284,0.17,1.23,5.02,5.68,3.71,77.02,35.95,17.89,5.96,0.55
Unity Health (St. Michaels),2026-05-01,8626,4.77,5.11,86.33,36,18.73,4.94,8.12,100,137,1329,2988,2880,1292,0.26,1.55,5.49,6.2,4.06,78.02,37.45,20.61,2.66,1.24
Unity Health (St. Michaels),2026-06-01,8818,4.21,4.76,90.89,28,13.86,4.45,14.2,105,122,1450,3064,2954,1228,0.18,1.69,4.84,5.47,3.58,83.15,48.6,15.24,4.5,0.26
North York General,2025-01-01,6680,4.98,4.99,92.67,28,17.95,4.77,7.27,95,119,1059,2346,2376,780,0.21,1.5,5.73,6.48,4.23,86.44,48.15,19.75,3.37,1.25
North York General,2025-02-01,7052,5.8,5.14,96.39,24,14.01,5.64,9.77,105,126,1018,2391,2460,1057,0.14,1.88,6.66,7.53,4.93,88.63,43.75,15.42,3.6,0.75
North York General,2025-03-01,7208,5.06,5.15,84.61,32,13.22,5.09,11.61,100,116,1013,2630,2575,874,0.22,1.38,5.82,6.58,4.3,81.36,46.05,14.54,5.74,1.4
North York General,2025-04-01,7688,4.05,5.78,83.93,44,18.42,4.31,7.04,100,86,1288,2804,2619,891,0.17,1.28,4.66,5.27,3.45,80.97,43.06,20.27,5.68,0.58
North York General,2025-05-01,6803,5.9,4.95,94.54,33,17.06,5.85,7.1,95,98,981,2292,2312,1120,0.23,1.45,6.78,7.67,5.01,77.67,49.42,18.76,2.59,0.68
North York General,2025-06-01,7337,6.03,4.95,98.95,37,16.52,5.71,7.53,100,78,1192,2482,2611,974,0.26,1.71,6.93,7.83,5.12,81.8,42.87,18.17,3.76,0.66
North York General,2025-07-01,7720,3.72,4.59,84.64,20,17.27,4.2,7.22,100,150,1167,2631,2669,1103,0.14,1.26,4.28,4.84,3.16,78.47,45.08,19.0,2.08,0.25
North York General,2025-08-01,6822,4.34,5.39,85.04,34,14.35,4.32,14.17,100,75,1004,2448,2416,879,0.1,1.41,5.0,5.65,3.69,76.28,38.12,15.78,2.11,0.35
North York General,2025-09-01,7657,5.66,4.89,89.16,43,15.49,5.71,9.36,105,102,1131,2643,2631,1150,0.29,1.26,6.51,7.35,4.81,86.45,37.1,17.04,5.47,0.78
North York General,2025-10-01,6512,5.76,4.94,95.6,33,13.37,5.54,9.18,100,82,1017,2313,2151,949,0.1,1.7,6.63,7.49,4.9,88.71,36.77,14.71,4.31,0.48
North York General,2025-11-01,6777,6.47,5.79,93.07,43,19.32,5.83,10.35,95,68,976,2480,2405,848,0.18,1.64,7.45,8.42,5.5,82.78,35.7,21.25,2.67,1.13
North York General,2025-12-01,7040,4.63,5.57,92.25,25,17.86,4.84,8.72,100,90,1060,2525,2336,1029,0.11,1.59,5.32,6.02,3.94,78.93,43.93,19.65,2.21,0.79
North York General,2026-01-01,6633,4.38,5.06,87.68,39,17.56,4.66,9.18,105,71,1073,2320,2305,864,0.22,1.48,5.03,5.69,3.72,80.41,36.37,19.31,5.67,0.29
North York General,2026-02-01,7260,4.9,4.82,89.58,22,13.77,4.91,14.9,100,135,1175,2630,2514,806,0.29,1.32,5.63,6.37,4.16,75.59,45.58,15.15,5.7,0.35
North York General,2026-03-01,7484,5.95,4.64,97.56,22,18.63,5.57,7.3,100,97,1255,2760,2677,695,0.22,1.82,6.84,7.74,5.06,78.45,36.81,20.49,2.31,1.07
North York General,2026-04-01,6934,5.19,4.92,94.32,21,19.51,5.15,13.39,100,106,1135,2376,2392,925,0.3,1.74,5.97,6.75,4.41,80.26,46.51,21.46,3.61,0.77
North York General,2026-05-01,7586,6.42,5.27,96.85,50,13.87,5.79,7.34,95,107,1157,2727,2499,1096,0.1,1.6,7.38,8.35,5.46,89.82,41.42,15.26,3.54,1.05
North York General,2026-06-01,6608,6.04,5.47,98.15,45,16.86,5.76,11.1,100,93,1099,2430,2238,748,0.15,1.79,6.94,7.85,5.13,77.65,38.31,18.55,2.75,1.19
Scarborough Health Network,2025-01-01,8183,4.9,5.61,82.98,43,13.8,5.0,8.79,95,157,1389,2757,2748,1132,0.21,1.25,5.63,6.37,4.16,83.89,43.7,15.18,2.37,1.33
Scarborough Health Network,2025-02-01,8292,4.58,5.0,84.2,41,17.79,4.43,10.97,100,154,1362,2953,2836,987,0.12,1.25,5.27,5.96,3.9,78.3,45.25,19.57,2.3,1.29
Scarborough Health Network,2025-03-01,8093,5.23,5.15,90.17,35,18.94,5.35,12.67,95,109,1297,2853,2676,1158,0.27,1.55,6.02,6.8,4.45,85.46,45.2,20.83,4.47,1.15
Scarborough Health Network,2025-04-01,6884,6.57,5.3,96.97,47,12.05,6.1,9.3,100,125,990,2363,2407,999,0.22,1.84,7.56,8.54,5.58,89.72,44.48,13.26,3.04,0.99
Scarborough Health Network,2025-05-01,7996,5.33,4.82,95.26,23,17.67,5.2,7.54,105,123,1350,2748,2761,1014,0.22,1.62,6.13,6.94,4.53,80.19,44.31,19.43,2.18,1.32
Scarborough Health Network,2025-06-01,7037,7.11,5.31,98.47,44,14.19,6.37,14.98,95,123,990,2328,2342,1254,0.19,1.94,8.18,9.25,6.04,81.77,37.45,15.61,5.18,1.07
Scarborough Health Network,2025-07-01,7834,4.25,5.23,83.4,34,14.19,4.23,14.87,100,99,1320,2632,2642,1141,0.18,1.47,4.88,5.52,3.61,88.41,38.45,15.61,2.85,0.14
Scarborough Health Network,2025-08-01,7559,5.42,5.41,88.26,42,13.05,5.42,7.26,95,148,1100,2757,2653,901,0.28,1.58,6.24,7.05,4.61,84.25,46.95,14.35,3.93,0.26
Scarborough Health Network,2025-09-01,7144,5.17,5.27,93.65,32,12.58,5.07,10.14,100,106,1013,2523,2362,1140,0.2,1.61,5.95,6.73,4.4,84.0,39.37,13.84,4.78,1.3
Scarborough Health Network,2025-10-01,6999,4.55,5.11,82.67,28,14.61,4.64,11.14,95,86,1187,2349,2379,998,0.12,1.28,5.24,5.92,3.87,80.26,35.5,16.07,2.31,0.66
Scarborough Health Network,2025-11-01,8056,6.18,5.28,91.65,39,18.41,5.91,9.72,100,96,1168,2692,2783,1317,0.26,1.62,7.11,8.04,5.26,76.2,48.42,20.26,4.19,1.24
Scarborough Health Network,2025-12-01,7952,5.32,5.17,92.94,34,17.27,5.33,10.99,100,86,1127,2702,2595,1442,0.21,1.53,6.11,6.91,4.52,85.79,38.43,19.0,5.99,1.46
Scarborough Health Network,2026-01-01,6949,4.94,5.33,85.39,35,14.97,4.59,14.9,100,71,1026,2421,2465,966,0.11,1.27,5.69,6.43,4.2,88.01,43.68,16.47,3.75,1.12
Scarborough Health Network,2026-02-01,7481,7.03,5.85,96.85,47,17.73,6.3,14.27,100,95,1180,2741,2456,1009,0.14,1.75,8.08,9.14,5.98,78.56,49.57,19.5,2.72,1.3
Scarborough Health Network,2026-03-01,7516,5.06,5.23,86.2,41,14.6,5.21,13.19,95,113,1133,2658,2454,1158,0.13,1.26,5.82,6.58,4.3,89.55,41.81,16.06,2.94,0.2
Scarborough Health Network,2026-04-01,8099,4.78,4.74,90.84,28,18.75,4.78,13.45,95,115,1194,2872,2820,1098,0.22,1.73,5.5,6.22,4.06,88.02,38.09,20.63,2.45,0.48
Scarborough Health Network,2026-05-01,6899,5.43,5.39,91.03,46,18.94,5.33,10.64,100,77,1059,2534,2294,935,0.2,1.58,6.25,7.06,4.62,82.33,45.0,20.84,2.56,0.14
Scarborough Health Network,2026-06-01,7863,5.12,4.83,93.98,25,19.56,5.26,12.47,105,154,1122,2806,2655,1126,0.2,1.67,5.89,6.66,4.35,84.27,48.03,21.51,4.28,0.14
Humber River Health,2025-01-01,6413,6.13,5.11,93.72,39,17.91,5.86,14.03,100,106,973,2283,2079,972,0.18,1.76,7.06,7.98,5.21,79.91,45.01,19.7,5.23,1.17
Humber River Health,2025-02-01,6283,5.94,5.0,89.4,41,13.9,5.46,9.99,100,97,880,2154,2102,1050,0.15,1.27,6.83,7.72,5.05,76.1,44.05,15.29,4.67,0.97
Humber River Health,2025-03-01,6825,5.8,4.73,88.46,42,18.12,6.02,13.5,100,100,960,2345,2287,1133,0.24,1.53,6.67,7.54,4.93,89.33,35.27,19.93,2.78,0.11
Humber River Health,2025-04-01,7380,5.03,4.82,97.27,28,18.42,4.82,11.31,95,78,1240,2539,2391,1132,0.16,1.61,5.79,6.54,4.28,84.16,45.74,20.27,3.09,0.68
Humber River Health,2025-05-01,6366,5.09,5.04,85.08,35,17.07,4.95,14.61,100,97,1026,2127,2181,935,0.22,1.36,5.85,6.61,4.32,87.29,48.26,18.77,2.91,0.4
Humber River Health,2025-06-01,7344,5.15,5.64,88.99,42,16.99,4.97,10.61,95,99,1080,2652,2430,1083,0.22,1.5,5.92,6.69,4.38,77.52,46.05,18.69,5.45,0.4
Humber River Health,2025-07-01,6945,4.23,4.99,82.4,32,15.23,4.55,10.43,100,107,1020,2400,2387,1031,0.24,1.19,4.87,5.5,3.6,85.39,49.87,16.76,2.51,0.25
Humber River Health,2025-08-01,6228,4.73,4.43,91.83,26,12.54,4.81,13.4,100,67,1038,2103,2073,947,0.15,1.48,5.43,6.14,4.02,83.1,48.2,13.79,4.6,0.85
Humber River Health,2025-09-01,7472,4.91,4.89,87.66,36,16.29,4.74,7.77,105,124,1171,2684,2530,963,0.19,1.49,5.65,6.39,4.18,86.34,40.21,17.92,4.66,1.21
Humber River Health,2025-10-01,6327,5.25,4.94,85.99,27,13.02,5.21,13.61,100,126,1061,2224,2237,679,0.26,1.35,6.03,6.82,4.46,85.63,35.54,14.32,3.21,0.47
Humber River Health,2025-11-01,6873,4.95,5.28,83.49,42,18.81,5.01,8.67,105,89,1044,2391,2364,985,0.29,1.3,5.69,6.43,4.21,76.75,47.26,20.69,3.52,1.33
Humber River Health,2025-12-01,6534,6.16,5.32,95.7,44,13.06,6.03,13.9,100,70,993,2201,2272,998,0.28,1.72,7.08,8.0,5.23,82.31,44.09,14.37,5.06,0.34
Humber River Health,2026-01-01,6619,4.61,4.65,88.78,21,16.05,4.36,10.52,95,70,931,2220,2373,1025,0.12,1.4,5.3,5.99,3.92,84.61,38.24,17.65,4.48,1.01
Humber River Health,2026-02-01,6745,4.12,5.03,83.04,37,16.08,4.3,14.97,100,71,1145,2241,2345,943,0.26,1.31,4.74,5.35,3.5,84.23,39.59,17.68,4.5,0.84
Humber River Health,2026-03-01,6731,5.01,5.46,84.22,41,15.85,5.0,7.15,95,80,1016,2332,2376,927,0.15,1.31,5.76,6.51,4.26,86.4,37.06,17.44,4.14,0.4
Humber River Health,2026-04-01,7210,5.5,5.3,86.1,44,13.2,5.35,9.6,100,141,1114,2410,2465,1080,0.25,1.29,6.33,7.15,4.68,82.14,40.64,14.52,3.58,0.74
Humber River Health,2026-05-01,7190,6.51,5.77,97.17,49,19.16,6.34,12.09,100,94,1155,2498,2374,1069,0.22,1.84,7.49,8.47,5.54,76.0,42.78,21.08,2.6,1.13
Humber River Health,2026-06-01,6235,4.41,4.32,93.56,20,17.29,4.83,8.48,95,107,886,2075,1998,1169,0.13,1.54,5.07,5.73,3.75,76.48,44.9,19.02,5.06,0.47
Trillium Health Partners,2025-01-01,8631,4.75,5.02,83.4,43,16.24,4.95,7.34,100,152,1370,2980,2832,1297,0.29,1.42,5.46,6.17,4.04,86.98,39.39,17.87,5.92,0.94
Trillium Health Partners,2025-02-01,9281,5.62,4.74,94.72,44,19.54,5.84,8.93,105,104,1393,3407,3053,1324,0.12,1.53,6.46,7.3,4.77,77.96,48.3,21.5,4.58,0.5
Trillium Health Partners,2025-03-01,9754,6.7,5.61,96.64,46,16.36,5.98,14.88,105,122,1586,3398,3449,1199,0.29,1.75,7.71,8.71,5.7,75.65,37.47,18.0,2.53,1.12
Trillium Health Partners,2025-04-01,9613,4.62,4.39,85.63,30,17.09,4.89,13.09,105,166,1502,3399,3271,1275,0.13,1.41,5.31,6.01,3.93,81.92,35.14,18.8,2.99,1.12
Trillium Health Partners,2025-05-01,9540,3.79,4.46,83.69,26,12.04,4.21,13.09,100,114,1494,3427,3287,1218,0.11,1.46,4.36,4.93,3.22,86.19,38.04,13.25,5.83,0.62
Trillium Health Partners,2025-06-01,9677,4.09,5.0,84.53,23,17.56,4.08,7.03,100,193,1461,3367,3376,1280,0.22,1.16,4.7,5.32,3.48,80.33,46.91,19.32,2.37,0.92
Trillium Health Partners,2025-07-01,9143,4.64,4.88,92.92,20,12.62,4.74,7.47,100,142,1433,3237,3173,1158,0.17,1.72,5.33,6.03,3.94,86.77,45.62,13.88,5.15,0.82
Trillium Health Partners,2025-08-01,8881,3.62,5.29,84.51,24,12.95,4.27,10.28,100,96,1302,3143,3103,1237,0.27,1.39,4.16,4.7,3.07,80.76,43.58,14.24,4.35,0.36
Trillium Health Partners,2025-09-01,8143,4.52,4.46,87.69,17,18.42,4.59,10.67,100,149,1206,2855,2703,1230,0.2,1.47,5.2,5.88,3.84,77.0,36.21,20.26,4.91,0.8
Trillium Health Partners,2025-10-01,8386,5.89,5.22,94.4,42,19.25,5.45,9.0,100,135,1208,3019,2903,1121,0.15,1.55,6.78,7.66,5.01,86.39,41.75,21.18,5.11,0.19
Trillium Health Partners,2025-11-01,9731,3.53,4.5,82.57,15,12.42,4.11,10.35,95,110,1517,3371,3249,1484,0.15,1.29,4.06,4.59,3.0,85.96,49.72,13.66,3.03,1.02
Trillium Health Partners,2025-12-01,9849,4.89,4.72,91.61,32,16.19,4.96,7.92,95,158,1482,3295,3211,1703,0.27,1.66,5.62,6.35,4.16,85.84,36.02,17.81,4.83,0.86
Trillium Health Partners,2026-01-01,8398,5.66,4.65,89.79,31,16.1,5.32,13.45,95,163,1389,2996,2842,1008,0.19,1.5,6.51,7.36,4.81,75.78,46.79,17.71,2.81,0.46
Trillium Health Partners,2026-02-01,9034,4.86,4.7,87.61,39,16.31,5.08,10.98,105,108,1502,3299,3205,920,0.12,1.42,5.59,6.31,4.13,84.85,47.33,17.94,3.52,1.19
Trillium Health Partners,2026-03-01,8616,4.7,4.87,85.46,30,17.57,4.55,13.35,95,154,1355,3061,3032,1014,0.16,1.38,5.4,6.11,3.99,87.86,48.59,19.32,3.11,1.48
Trillium Health Partners,2026-04-01,9709,3.99,5.05,85.43,20,19.87,4.28,12.34,95,160,1403,3374,3345,1427,0.23,1.41,4.59,5.19,3.39,77.49,48.23,21.86,3.71,0.33
Trillium Health Partners,2026-05-01,9394,5.35,5.11,91.52,34,14.51,5.61,10.77,100,177,1337,3374,3076,1430,0.26,1.58,6.16,6.96,4.55,81.89,40.37,15.97,3.98,1.26
Trillium Health Partners,2026-06-01,9586,5.19,4.99,84.95,36,14.82,5.38,13.73,100,105,1411,3217,3200,1653,0.19,1.5,5.97,6.75,4.42,89.69,44.51,16.3,2.51,1.05
